awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,prize_links,category,categoryFullName,motivation,topMotivation,laureates.id,gender,laureate_links,knownName,givenName,familyName,fullName,birth.date,birth.place.city,birth.place.country,birth.place.cityNow,birth.place.countryNow,birth.place.continent,birth.place.locationString,death.date,death.place.city,death.place.country,death.place.cityNow,death.place.countryNow,death.place.continent,death.place.locationString,affiliation.1.name,affiliation.1.nameNow,affiliation.1.city,affiliation.1.country,affiliation.1.cityNow,affiliation.1.countryNow,affiliation.1.locationString,affiliation.2.name,affiliation.2.nameNow,affiliation.2.city,affiliation.2.country,affiliation.2.cityNow,affiliation.2.countryNow,affiliation.2.locationString,affiliation.3.name,affiliation.3.nameNow,affiliation.3.locationString,affiliation.3.city,affiliation.3.country,affiliation.3.cityNow,affiliation.3.countryNow,affiliation.4.name,affiliation.4.nameNow,affiliation.4.city,affiliation.4.country,affiliation.4.cityNow,affiliation.4.countryNow,affiliation.4.locationString,residence.1.country,residence.1.countryNow,residence.1.locationString,residence.1.city,residence.1.cityNow,residence.2.country,residence.2.countryNow,residence.2.locationString,acronym,orgName,founded.year,founded.place.city,founded.place.country,founded.place.cityNow,founded.place.countryNow,founded.place.continent,founded.place.locationString,nativeName,penName,foundedCountry,foundedCountryNow,foundedContinent
1901,1,1,,received,150782,8722510,https://www.nobelprize.org/prizes/chemistry/1901/summary/,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,,160,male,https://www.nobelprize.org/laureate/160,Jacobus H. van 't Hoff,Jacobus H.,van 't Hoff,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,the Netherlands,Rotterdam,the Netherlands,Europe,"Rotterdam, the Netherlands",1911-03-01,Berlin,Germany,Berlin,Germany,Europe,"Berlin, Germany",Berlin University,Berlin University,Berlin,Germany,Berlin,Germany,"Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1,1,,received,150782,8722510,https://www.nobelprize.org/prizes/literature/1901/summary/,Literature,The Nobel Prize in Literature,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",,569,male,https://www.nobelprize.org/laureate/569,Sully Prudhomme,Sully,Prudhomme,Sully Prudhomme,1839-03-16,Paris,France,Paris,France,Europe,"Paris, France",1907-09-07,Châtenay,France,Châtenay,France,Europe,"Châtenay, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United Kingdom,United Kingdom,,,,,,,,,,,,,,,,(pen-name of René François Armand Prudhomme),,,
1901,2,1/2,1901-12-10,received,150782,8722510,https://www.nobelprize.org/prizes/peace/1901/summary/,Peace,The Nobel Peace Prize,"for his lifelong work for international peace conferences, diplomacy and arbitration",,463,male,https://www.nobelprize.org/laureate/463,Frédéric Passy,Frédéric,Passy,Frédéric Passy,1822-05-20,Paris,France,Paris,France,Europe,"Paris, France",1912-06-12,Paris,France,Paris,France,Europe,"Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1,1/2,1901-12-10,received,150782,8722510,https://www.nobelprize.org/prizes/peace/1901/summary/,Peace,The Nobel Peace Prize,for his humanitarian efforts to help wounded soldiers and create international understanding,,462,male,https://www.nobelprize.org/laureate/462,Henry Dunant,Henry,Dunant,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Geneva,Switzerland,Europe,"Geneva, Switzerland",1910-10-30,Heiden,Switzerland,Heiden,Switzerland,Europe,"Heiden, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1,1,,received,150782,8722510,https://www.nobelprize.org/prizes/physics/1901/summary/,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,,1,male,https://www.nobelprize.org/laureate/1,Wilhelm Conrad Röntgen,Wilhelm Conrad,Röntgen,Wilhelm Conrad Röntgen,1845-03-27,Lennep,Prussia,Remscheid,Germany,Europe,"Lennep, Prussia (now Remscheid, Germany)",1923-02-10,Munich,Germany,Munich,Germany,Europe,"Munich, Germany",Munich University,Munich University,Munich,Germany,Munich,Germany,"Munich, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1,1,,received,150782,8722510,https://www.nobelprize.org/prizes/medicine/1901/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",,293,male,https://www.nobelprize.org/laureate/293,Emil von Behring,Emil,von Behring,Emil Adolf von Behring,1854-03-15,Hansdorf,Prussia,Lawice,Poland,Europe,"Hansdorf, Prussia (now Lawice, Poland)",1917-03-31,Marburg,Germany,Marburg,Germany,Europe,"Marburg, Germany",Marburg University,Marburg University,Marburg,Germany,Marburg,Germany,"Marburg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1,1,,received,141847,8205634,https://www.nobelprize.org/prizes/chemistry/1902/summary/,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,,161,male,https://www.nobelprize.org/laureate/161,Emil Fischer,Emil,Fischer,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia,Euskirchen,Germany,Europe,"Euskirchen, Prussia (now Germany)",1919-07-15,Berlin,Germany,Berlin,Germany,Europe,"Berlin, Germany",Berlin University,Berlin University,Berlin,Germany,Berlin,Germany,"Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1,1,,received,141847,8205634,https://www.nobelprize.org/prizes/literature/1902/summary/,Literature,The Nobel Prize in Literature,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",,571,male,https://www.nobelprize.org/laureate/571,Theodor Mommsen,Theodor,Mommsen,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig,Garding,Germany,Europe,"Garding, Schleswig (now Germany)",1903-11-01,Charlottenburg,Germany,Charlottenburg,Germany,Europe,"Charlottenburg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,1/2,1902-12-10,received,141847,8205634,https://www.nobelprize.org/prizes/peace/1902/summary/,Peace,The Nobel Peace Prize,for his eminently practical administration of the Inter-Parliamentary Union,,465,male,https://www.nobelprize.org/laureate/465,Albert Gobat,Albert,Gobat,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Tramelan,Switzerland,Europe,"Tramelan, Switzerland",1914-03-16,Bern,Switzerland,Bern,Switzerland,Europe,"Bern, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,USA,USA,,,,,,,,,,,,,,,,,,,
1902,1,1/2,1902-12-10,received,141847,8205634,https://www.nobelprize.org/prizes/peace/1902/summary/,Peace,The Nobel Peace Prize,for his untiring and skilful directorship of the Bern Peace Bureau,,464,male,https://www.nobelprize.org/laureate/464,Élie Ducommun,Élie,Ducommun,Élie Ducommun,1833-02-19,Geneva,Switzerland,Geneva,Switzerland,Europe,"Geneva, Switzerland",1906-12-07,Bern,Switzerland,Bern,Switzerland,Europe,"Bern, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
